image_name,marked
FFF6,Y
FFF149,Y
FFF150,Y
FFF151,N
FFF151/1,Y
FFF152,Y
FFF153,Y
FFF154,Y
FFF155,Y
FFF156,N
FFF157,Y
FFF158,N
FFF159,N
FFF160,Y
FFF161,Y
FFF162,N
FFF162/1,Y
FFF163,Y
FFF164,N
FFF165,N
FFF166,Y
FFF167,Y
FFF168,Y
FFF169,Y
FFF170,Y
FFF171,Y
FFF172,Y
FFF173,Y
FFF174,N
FFF174/1,Y
FFF174/2,Y
FFF175,Y
FFF176,Y
FFF177,Y
FFF178,Y
FFF179,Y
FFF180,Y
FFF181,N
FFF182,Y
FFF183,Y
FFF184,Y
FFF185,N
FFF186,N
FFF187,N
FFF187/1,Y
FFF188,Y
FFF189,Y
FFF190,Y
FFF191,N
FFF192,Y
FFF193,Y
FFF194,Y
FFF195,Y
FFF198,Y
FFF199,Y
FFF201,Y
FFF202,Y
FFF203,N
FFF204,Y
FFF204/1,N
FFF205,Y
FFF206,Y
FFF207,Y
FFF208,Y
FFF209,Y
FFF210,Y
FFF211,Y
FFF212,N
FFF213,Y
FFF214,Y
FFF215,Y
FFF216,Y
FFF217,Y
FFF218,Y
FFF219,Y
FFF220,N
FFF221,Y
FFF222,Y
FFF222/1,Y
FFF222/2,Y
FFF223,Y
FFF224,N
FFF225,N
FFF226,Y
FFF227,N
FFF228,N
FFF229,Y
FFF230,Y
FFF231,N
FFF232,Y
FFF233,Y
FFF234,N
FFF235,Y
FFF236,Y
FFF237,Y
FFF238,N
FFF239,N
FFF240,Y
FFF243,N
FFF244,N
FFF245,Y
FFF245/2,Y
FFF246,Y
FFF247,Y
FFF249,Y
FFF251,Y
FFF252,Y
FFF253/1,Y
FFF256,N
FFF257,N
FFF258,Y
FFF260,Y
FFF261,Y
FFF262,N
FFF263,Y
FFF263/1,Y
FFF263/2,Y
FFF264,Y
FFF265,N
FFF266,Y
FFF267,Y
FFF268,Y
FFF269,N
FFF270,N
FFF271,Y
FFF272,Y
FFF273,Y
FFF274,Y
FFF275,N
FFF276,N
FFF277,N
FFF278,Y
FFF282,N
FFF283,Y
FFF285,Y
FFF286,N
FFF287,Y
FFF288,Y
FFF290,N
FFF290/2,Y
FFF291,Y
FFF294,N
FFF296,Y
